Question,Answer,Article_Number,Type,Difficulty,Themes,Keyword,Clause,Theme
What does the Constitution say about council?,"According to Article 89 (The Chairman and Deputy Chairman of the council of States), 89. The Chairman and Deputy Chairman of the council of States (1) The Vice President of India shall be ex officio Chairman of the Council of States (2) The council of States shall, as soon as may be, ...",89,keyword_search,intermediate,"federal_structure, governance",council,,
What does the Constitution say about deputy?,"According to Article 89 (The Chairman and Deputy Chairman of the council of States), 89. The Chairman and Deputy Chairman of the council of States (1) The Vice President of India shall be ex officio Chairman of the Council of States (2) The council of States shall, as soon as may be, ...",89,keyword_search,intermediate,"federal_structure, governance",deputy,,
What does the Constitution say about choose?,"According to Article 89 (The Chairman and Deputy Chairman of the council of States), 89. The Chairman and Deputy Chairman of the council of States (1) The Vice President of India shall be ex officio Chairman of the Council of States (2) The council of States shall, as soon as may be, ...",89,keyword_search,intermediate,"federal_structure, governance",choose,,
What does the Constitution say about member?,"According to Article 89 (The Chairman and Deputy Chairman of the council of States), 89. The Chairman and Deputy Chairman of the council of States (1) The Vice President of India shall be ex officio Chairman of the Council of States (2) The council of States shall, as soon as may be, ...",89,keyword_search,intermediate,"federal_structure, governance",member,,
What is Article 90 of the Indian Constitution?,"Article 90 is titled 'Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of the Council of States'. 90. Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of the ...",90,overview,basic,federal_structure,,,
What is the title of Article 90?,"Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of the Council of States",90,title,basic,federal_structure,,,
Explain Article 90 in detail.,"Article 90 (Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of the Council of States) states: 90. Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of the Cou...",90,detailed_explanation,intermediate,federal_structure,,,
What does clause (b) of Article 90 state?,"may at any time, by writing under his hand addressed to the Chairman, resign his office; and",90,clause_specific,intermediate,federal_structure,,(b),
Explain clause (b) of Article 90.,"Clause (b) of Article 90 explains: may at any time, by writing under his hand addressed to the Chairman, resign his office; and",90,clause_explanation,advanced,federal_structure,,(b),
What does clause (c) of Article 90 state?,may be removed from his office by a resolution of the Council passed by a majority of all the then members of the Council: Provided that no resolution for the purpose of clause,90,clause_specific,intermediate,federal_structure,,(c),
Explain clause (c) of Article 90.,Clause (c) of Article 90 explains: may be removed from his office by a resolution of the Council passed by a majority of all the then members of the Council: Provided that no resolution for the purpose of clause,90,clause_explanation,advanced,federal_structure,,(c),
What does clause (c) of Article 90 state?,shall be moved unless at least fourteen days notice has been given of the intention to move the resolution,90,clause_specific,intermediate,federal_structure,,(c),
Explain clause (c) of Article 90.,Clause (c) of Article 90 explains: shall be moved unless at least fourteen days notice has been given of the intention to move the resolution,90,clause_explanation,advanced,federal_structure,,(c),
What does clause (c) of Article 90 state?,may be removed from his office by a resolution of the Council passed by a majority of all the then members of the Council: Provided that no resolution for the purpose of clause,90,clause_specific,intermediate,federal_structure,,(c),
Explain clause (c) of Article 90.,Clause (c) of Article 90 explains: may be removed from his office by a resolution of the Council passed by a majority of all the then members of the Council: Provided that no resolution for the purpose of clause,90,clause_explanation,advanced,federal_structure,,(c),
What does clause (c) of Article 90 state?,shall be moved unless at least fourteen days notice has been given of the intention to move the resolution,90,clause_specific,intermediate,federal_structure,,(c),
Explain clause (c) of Article 90.,Clause (c) of Article 90 explains: shall be moved unless at least fourteen days notice has been given of the intention to move the resolution,90,clause_explanation,advanced,federal_structure,,(c),
Which article deals with federal structure in the Indian Constitution?,"Article 90 (Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of the Council of States) deals with federal structure.",90,theme_based,intermediate,federal_structure,,,federal_structure
What does the Constitution say about office?,"According to Article 90 (Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of the Council of States), 90. Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of t...",90,keyword_search,intermediate,federal_structure,office,,
What does the Constitution say about council?,"According to Article 90 (Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of the Council of States), 90. Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of t...",90,keyword_search,intermediate,federal_structure,council,,
What does the Constitution say about chairman?,"According to Article 90 (Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of the Council of States), 90. Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of t...",90,keyword_search,intermediate,federal_structure,chairman,,
What does the Constitution say about resolution?,"According to Article 90 (Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of the Council of States), 90. Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of t...",90,keyword_search,intermediate,federal_structure,resolution,,
What does the Constitution say about deputy?,"According to Article 90 (Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of the Council of States), 90. Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of t...",90,keyword_search,intermediate,federal_structure,deputy,,
What is Article 91 of the Indian Constitution?,"Article 91 is titled 'Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman'. 91. Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman (1) While the office of Chairman is vacant, or during an...",91,overview,basic,"federal_structure, governance",,,
What is the title of Article 91?,"Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman",91,title,basic,"federal_structure, governance",,,
Explain Article 91 in detail.,"Article 91 (Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman) states: 91. Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman (1) While the office of Chairman is vacant, or during any p...",91,detailed_explanation,intermediate,"federal_structure, governance",,,
What does clause (2) of Article 91 state?,"During the absence of the chairman from any sitting of the council of States the Deputy chairman, or, if he is also absent, such person as may be determined by the rules of procedure of the council, or, if no such person is present, such other person as may be determined by the council, shall act as...",91,clause_specific,intermediate,"federal_structure, governance",,(2),
Explain clause (2) of Article 91.,"Clause (2) of Article 91 explains: During the absence of the chairman from any sitting of the council of States the Deputy chairman, or, if he is also absent, such person as may be determined by the rules of procedure of the council, or, if no such person is present, such other person as may be dete...",91,clause_explanation,advanced,"federal_structure, governance",,(2),
Which article deals with federal structure in the Indian Constitution?,"Article 91 (Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman) deals with federal structure.",91,theme_based,intermediate,"federal_structure, governance",,,federal_structure
Which article deals with governance in the Indian Constitution?,"Article 91 (Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman) deals with governance.",91,theme_based,intermediate,"federal_structure, governance",,,governance
What does the Constitution say about chairman?,"According to Article 91 (Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman), 91. Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman (1) While the office of Chairman is vacant, or during...",91,keyword_search,intermediate,"federal_structure, governance",chairman,,
What does the Constitution say about deputy?,"According to Article 91 (Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman), 91. Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman (1) While the office of Chairman is vacant, or during...",91,keyword_search,intermediate,"federal_structure, governance",deputy,,
What does the Constitution say about person?,"According to Article 91 (Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman), 91. Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman (1) While the office of Chairman is vacant, or during...",91,keyword_search,intermediate,"federal_structure, governance",person,,
What does the Constitution say about office?,"According to Article 91 (Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman), 91. Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman (1) While the office of Chairman is vacant, or during...",91,keyword_search,intermediate,"federal_structure, governance",office,,
What does the Constitution say about council?,"According to Article 91 (Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman), 91. Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman (1) While the office of Chairman is vacant, or during...",91,keyword_search,intermediate,"federal_structure, governance",council,,
What is Article 92 of the Indian Constitution?,Article 92 is titled 'The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration'. 92. The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the Coun...,92,overview,basic,"fundamental_rights, federal_structure, governance",,,
What is the title of Article 92?,The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration,92,title,basic,"fundamental_rights, federal_structure, governance",,,
Explain Article 92 in detail.,Article 92 (The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration) states: 92. The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the Council...,92,detailed_explanation,intermediate,"fundamental_rights, federal_structure, governance",,,
What does clause (2) of Article 92 state?,"The Chairman shall have the right to speak in, and otherwise to take part in proceedings of, the Council of States while any resolution for the removal of the Vice President from his office is under consideration in the Council, but, notwithstanding anything in Article 100, shall not be entitled to ...",92,clause_specific,intermediate,"fundamental_rights, federal_structure, governance",,(2),
Explain clause (2) of Article 92.,"Clause (2) of Article 92 explains: The Chairman shall have the right to speak in, and otherwise to take part in proceedings of, the Council of States while any resolution for the removal of the Vice President from his office is under consideration in the Council, but, notwithstanding anything in Art...",92,clause_explanation,advanced,"fundamental_rights, federal_structure, governance",,(2),
Which article deals with fundamental rights in the Indian Constitution?,Article 92 (The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration) deals with fundamental rights.,92,theme_based,intermediate,"fundamental_rights, federal_structure, governance",,,fundamental_rights
Which article deals with federal structure in the Indian Constitution?,Article 92 (The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration) deals with federal structure.,92,theme_based,intermediate,"fundamental_rights, federal_structure, governance",,,federal_structure
Which article deals with governance in the Indian Constitution?,Article 92 (The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration) deals with governance.,92,theme_based,intermediate,"fundamental_rights, federal_structure, governance",,,governance
What does the Constitution say about chairman?,"According to Article 92 (The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration), 92. The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the C...",92,keyword_search,intermediate,"fundamental_rights, federal_structure, governance",chairman,,
What does the Constitution say about resolution?,"According to Article 92 (The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration), 92. The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the C...",92,keyword_search,intermediate,"fundamental_rights, federal_structure, governance",resolution,,
What does the Constitution say about deputy?,"According to Article 92 (The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration), 92. The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the C...",92,keyword_search,intermediate,"fundamental_rights, federal_structure, governance",deputy,,
What does the Constitution say about removal?,"According to Article 92 (The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration), 92. The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the C...",92,keyword_search,intermediate,"fundamental_rights, federal_structure, governance",removal,,
What does the Constitution say about office?,"According to Article 92 (The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration), 92. The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the C...",92,keyword_search,intermediate,"fundamental_rights, federal_structure, governance",office,,
What is Article 93 of the Indian Constitution?,"Article 93 is titled 'The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two members of the House to be resp'. 93. The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two me...",93,overview,basic,,,,
What is the title of Article 93?,"The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two members of the House to be resp",93,title,basic,,,,
Explain Article 93 in detail.,"Article 93 (The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two members of the House to be resp) states: 93. The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two membe...",93,detailed_explanation,intermediate,,,,
What does the Constitution say about speaker?,"According to Article 93 (The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two members of the House to be resp), 93. The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two...",93,keyword_search,intermediate,,speaker,,
What does the Constitution say about deputy?,"According to Article 93 (The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two members of the House to be resp), 93. The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two...",93,keyword_search,intermediate,,deputy,,
What does the Constitution say about house?,"According to Article 93 (The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two members of the House to be resp), 93. The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two...",93,keyword_search,intermediate,,house,,
What does the Constitution say about people?,"According to Article 93 (The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two members of the House to be resp), 93. The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two...",93,keyword_search,intermediate,,people,,
What does the Constitution say about choose?,"According to Article 93 (The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two members of the House to be resp), 93. The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two...",93,keyword_search,intermediate,,choose,,
What is Article 94 of the Indian Constitution?,"Article 94 is titled 'Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of the House of the People'. 94. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holdi...",94,overview,basic,,,,
What is the title of Article 94?,"Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of the House of the People",94,title,basic,,,,
Explain Article 94 in detail.,"Article 94 (Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of the House of the People) states: 94. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding ...",94,detailed_explanation,intermediate,,,,
What does clause (b) of Article 94 state?,"may at any time, by writing under his hand addressed, if such member is the Speaker, to the Deputy Speaker, and if such member is the Deputy Speaker, to the Speaker, resign his office; and",94,clause_specific,intermediate,,,(b),
Explain clause (b) of Article 94.,"Clause (b) of Article 94 explains: may at any time, by writing under his hand addressed, if such member is the Speaker, to the Deputy Speaker, and if such member is the Deputy Speaker, to the Speaker, resign his office; and",94,clause_explanation,advanced,,,(b),
What does clause (c) of Article 94 state?,may be removed from his office by a resolution of the House of the People passed by a majority of all the then members of the House: Provided that no resolution for the purpose of clause,94,clause_specific,intermediate,,,(c),
Explain clause (c) of Article 94.,Clause (c) of Article 94 explains: may be removed from his office by a resolution of the House of the People passed by a majority of all the then members of the House: Provided that no resolution for the purpose of clause,94,clause_explanation,advanced,,,(c),
What does clause (c) of Article 94 state?,"shall be moved unless at least fourteen days notice has been given of the intention to move the resolution: Provided further that, whenever the House of the People is dissolved, the Speaker shall not vacate his office until immediately before the first meeting of the House of the People after the di...",94,clause_specific,intermediate,,,(c),
Explain clause (c) of Article 94.,"Clause (c) of Article 94 explains: shall be moved unless at least fourteen days notice has been given of the intention to move the resolution: Provided further that, whenever the House of the People is dissolved, the Speaker shall not vacate his office until immediately before the first meeting of t...",94,clause_explanation,advanced,,,(c),
What does clause (c) of Article 94 state?,may be removed from his office by a resolution of the House of the People passed by a majority of all the then members of the House: Provided that no resolution for the purpose of clause,94,clause_specific,intermediate,,,(c),
Explain clause (c) of Article 94.,Clause (c) of Article 94 explains: may be removed from his office by a resolution of the House of the People passed by a majority of all the then members of the House: Provided that no resolution for the purpose of clause,94,clause_explanation,advanced,,,(c),
What does clause (c) of Article 94 state?,"shall be moved unless at least fourteen days notice has been given of the intention to move the resolution: Provided further that, whenever the House of the People is dissolved, the Speaker shall not vacate his office until immediately before the first meeting of the House of the People after the di...",94,clause_specific,intermediate,,,(c),
Explain clause (c) of Article 94.,"Clause (c) of Article 94 explains: shall be moved unless at least fourteen days notice has been given of the intention to move the resolution: Provided further that, whenever the House of the People is dissolved, the Speaker shall not vacate his office until immediately before the first meeting of t...",94,clause_explanation,advanced,,,(c),
What does the Constitution say about speaker?,"According to Article 94 (Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of the House of the People), 94. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member ho...",94,keyword_search,intermediate,,speaker,,
What does the Constitution say about house?,"According to Article 94 (Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of the House of the People), 94. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member ho...",94,keyword_search,intermediate,,house,,
What does the Constitution say about office?,"According to Article 94 (Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of the House of the People), 94. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member ho...",94,keyword_search,intermediate,,office,,
What does the Constitution say about people?,"According to Article 94 (Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of the House of the People), 94. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member ho...",94,keyword_search,intermediate,,people,,
What does the Constitution say about deputy?,"According to Article 94 (Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of the House of the People), 94. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member ho...",94,keyword_search,intermediate,,deputy,,
What is Article 95 of the Indian Constitution?,"Article 95 is titled 'Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker'. 95. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker (1) While the office of Speaker is vacant, the duties of the...",95,overview,basic,governance,,,
What is the title of Article 95?,"Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker",95,title,basic,governance,,,
Explain Article 95 in detail.,"Article 95 (Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker) states: 95. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker (1) While the office of Speaker is vacant, the duties of the of...",95,detailed_explanation,intermediate,governance,,,
What does clause (2) of Article 95 state?,"During the absence of the Speaker from any sitting of the House of the People the Deputy Speaker or, if he is also absent, such person as may be determined by the rules of procedure of the House, or, if no such person is present, such other person as may be determined by the House, shall act as Spea...",95,clause_specific,intermediate,governance,,(2),
Explain clause (2) of Article 95.,"Clause (2) of Article 95 explains: During the absence of the Speaker from any sitting of the House of the People the Deputy Speaker or, if he is also absent, such person as may be determined by the rules of procedure of the House, or, if no such person is present, such other person as may be determi...",95,clause_explanation,advanced,governance,,(2),
Which article deals with governance in the Indian Constitution?,"Article 95 (Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker) deals with governance.",95,theme_based,intermediate,governance,,,governance
What does the Constitution say about speaker?,"According to Article 95 (Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker), 95. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker (1) While the office of Speaker is vacant, the duties of ...",95,keyword_search,intermediate,governance,speaker,,
What does the Constitution say about deputy?,"According to Article 95 (Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker), 95. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker (1) While the office of Speaker is vacant, the duties of ...",95,keyword_search,intermediate,governance,deputy,,
What does the Constitution say about person?,"According to Article 95 (Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker), 95. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker (1) While the office of Speaker is vacant, the duties of ...",95,keyword_search,intermediate,governance,person,,
What does the Constitution say about office?,"According to Article 95 (Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker), 95. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker (1) While the office of Speaker is vacant, the duties of ...",95,keyword_search,intermediate,governance,office,,
What does the Constitution say about house?,"According to Article 95 (Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker), 95. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker (1) While the office of Speaker is vacant, the duties of ...",95,keyword_search,intermediate,governance,house,,
What is Article 96 of the Indian Constitution?,Article 96 is titled 'The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration'. 96. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the House of...,96,overview,basic,fundamental_rights,,,
What is the title of Article 96?,The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration,96,title,basic,fundamental_rights,,,
Explain Article 96 in detail.,Article 96 (The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration) states: 96. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the House of th...,96,detailed_explanation,intermediate,fundamental_rights,,,
What does clause (2) of Article 96 state?,"The Speaker shall have the right to speak in, and otherwise to take part in the proceedings of, the House of the People while any resolution for his removal from office is under consideration in the House and shall, notwithstanding anything in Article 100, be entitled to vote only in the first insta...",96,clause_specific,intermediate,fundamental_rights,,(2),
Explain clause (2) of Article 96.,"Clause (2) of Article 96 explains: The Speaker shall have the right to speak in, and otherwise to take part in the proceedings of, the House of the People while any resolution for his removal from office is under consideration in the House and shall, notwithstanding anything in Article 100, be entit...",96,clause_explanation,advanced,fundamental_rights,,(2),
Which article deals with fundamental rights in the Indian Constitution?,Article 96 (The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration) deals with fundamental rights.,96,theme_based,intermediate,fundamental_rights,,,fundamental_rights
What does the Constitution say about speaker?,"According to Article 96 (The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration), 96. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the House...",96,keyword_search,intermediate,fundamental_rights,speaker,,
What does the Constitution say about resolution?,"According to Article 96 (The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration), 96. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the House...",96,keyword_search,intermediate,fundamental_rights,resolution,,
What does the Constitution say about deputy?,"According to Article 96 (The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration), 96. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the House...",96,keyword_search,intermediate,fundamental_rights,deputy,,
What does the Constitution say about removal?,"According to Article 96 (The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration), 96. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the House...",96,keyword_search,intermediate,fundamental_rights,removal,,
What does the Constitution say about office?,"According to Article 96 (The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration), 96. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration (1) At any sitting of the House...",96,keyword_search,intermediate,fundamental_rights,office,,
What is Article 97 of the Indian Constitution?,Article 97 is titled 'Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to the Chairman and the Deputy Chai'. 97. Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to the...,97,overview,basic,federal_structure,,,
What is the title of Article 97?,Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to the Chairman and the Deputy Chai,97,title,basic,federal_structure,,,
Explain Article 97 in detail.,Article 97 (Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to the Chairman and the Deputy Chai) states: 97. Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to the Ch...,97,detailed_explanation,intermediate,federal_structure,,,
Which article deals with federal structure in the Indian Constitution?,Article 97 (Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to the Chairman and the Deputy Chai) deals with federal structure.,97,theme_based,intermediate,federal_structure,,,federal_structure
What does the Constitution say about chairman?,"According to Article 97 (Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to the Chairman and the Deputy Chai), 97. Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to ...",97,keyword_search,intermediate,federal_structure,chairman,,
What does the Constitution say about deputy?,"According to Article 97 (Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to the Chairman and the Deputy Chai), 97. Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to ...",97,keyword_search,intermediate,federal_structure,deputy,,
What does the Constitution say about speaker?,"According to Article 97 (Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to the Chairman and the Deputy Chai), 97. Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to ...",97,keyword_search,intermediate,federal_structure,speaker,,
What does the Constitution say about salaries?,"According to Article 97 (Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to the Chairman and the Deputy Chai), 97. Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to ...",97,keyword_search,intermediate,federal_structure,salaries,,
What does the Constitution say about allowances?,"According to Article 97 (Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to the Chairman and the Deputy Chai), 97. Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to ...",97,keyword_search,intermediate,federal_structure,allowances,,
What is Article 98 of the Indian Constitution?,Article 98 is titled 'Secretariat of Parliament'. 98. Secretariat of Parliament (1) Each House of Parliament shall have a separate secretariat staff: Provided that nothing in this clause shall be construed as preventing the creation of posts common to both Houses of Parliament (2) Parliament may by ...,98,overview,basic,"federal_structure, governance",,,
What is the title of Article 98?,Secretariat of Parliament,98,title,basic,"federal_structure, governance",,,
Explain Article 98 in detail.,Article 98 (Secretariat of Parliament) states: 98. Secretariat of Parliament (1) Each House of Parliament shall have a separate secretariat staff: Provided that nothing in this clause shall be construed as preventing the creation of posts common to both Houses of Parliament (2) Parliament may by law...,98,detailed_explanation,intermediate,"federal_structure, governance",,,
What does clause (2) of Article 98 state?,"Parliament may by law regulate the recruitment, and the conditions of service of persons appointed, to the secretarial staff of either House of Parliament",98,clause_specific,intermediate,"federal_structure, governance",,(2),
Explain clause (2) of Article 98.,"Clause (2) of Article 98 explains: Parliament may by law regulate the recruitment, and the conditions of service of persons appointed, to the secretarial staff of either House of Parliament",98,clause_explanation,advanced,"federal_structure, governance",,(2),
Which article deals with federal structure in the Indian Constitution?,Article 98 (Secretariat of Parliament) deals with federal structure.,98,theme_based,intermediate,"federal_structure, governance",,,federal_structure
Which article deals with governance in the Indian Constitution?,Article 98 (Secretariat of Parliament) deals with governance.,98,theme_based,intermediate,"federal_structure, governance",,,governance
What does the Constitution say about house?,"According to Article 98 (Secretariat of Parliament), 98. Secretariat of Parliament (1) Each House of Parliament shall have a separate secretariat staff: Provided that nothing in this clause shall be construed as preventing the creation of posts common t...",98,keyword_search,intermediate,"federal_structure, governance",house,,
What does the Constitution say about staff?,"According to Article 98 (Secretariat of Parliament), 98. Secretariat of Parliament (1) Each House of Parliament shall have a separate secretariat staff: Provided that nothing in this clause shall be construed as preventing the creation of posts common t...",98,keyword_search,intermediate,"federal_structure, governance",staff,,
